POLO BASE,2014,2015,2016,2017,2018,2019,2020,2021,2022
AJARANI,,,,,,,,,
AJURICABA,,,,,,,,,
ALTO CATRIMANI,,,,,1,,,1,1
ALTO MUCAJAI,,,,1,3,,,1,
ALTO PADAUIRI,,,,,,,,,
APIAÚ,,,,,,,,,
ARACÁ,,,,,,,,,
ARATHA-U,,3,2,1,,1,4,2,
AUARIS,,1,1,1,,1,,1,
BAIXO CATRIMANI,,,,,,,,,
BAIXO MUCAJAI,,,,3,,1,,,
BALAWAU,,,,,,,,,
CACHOEIRA DO ARAÇÁ,,,,,,,,,
DEMINI,,,,,,,,,
ERICÓ,,,,,,,,,
HAKOMA,,,,,,,7,3,
HAXIU,,1,,1,2,,3,1,1
HOMOXI,2,3,2,,2,,1,,
INAMBÚ,,,,,1,,,,
MAIA,,,,,,,,,
MALOCA PAAPIU,5,,,,,,2,1,
MARARI,,2,,,,,,,
MARAUIÁ,,,,,,,,1,
MATURACÁ,,,,,,,,,
MÉDIO PADAUIRI,,,,,,,,,
MISSÃO CATRIMANI,,1,1,,,1,,,
NOVO-DEMINI,,,,,,,,,
PAAPIU,,,,,,,,5,
PALIMIÚ,,,,,,,,,
PARAFURI,1,3,1,6,1,1,,,
SAUBA,,,,,,,,,
SURUCUCU,,1,1,6,,1,1,1,
TOOTOTOBI,,,,,1,1,1,,
URARICOERA,,,,1,,2,,,
WAIKÁS,,,,1,,,,,
WAPUTHA,,1,,2,,,1,1,
XITEI,,2,,,1,,,,5