polo_base,2016,2017,2018,2019,2020,2021,2022,variacao,status
HAXIU,,40,673,771,684,157,88,220,aumentou
NOVO-DEMINI,,208,326,930,1478,1300,409,"196,6346154",aumentou
AJURICABA,,195,361,366,659,793,332,"170,2564103",aumentou
BAIXO CATRIMANI,,129,292,373,619,297,161,"124,8062016",aumentou
MATURACÁ,,3715,8921,8344,32721,24468,3429,"92,30148048",diminuiu
AUARIS,,8310,12694,11189,13441,14253,6243,"75,12635379",diminuiu
PALIMIÚ,2,1506,534,1858,2642,3347,758,"50,33200531",diminuiu
DEMINI,,371,843,361,673,667,186,"50,13477089",diminuiu
MARAUIÁ,,6067,11721,10277,14096,10284,2597,"42,80534037",diminuiu
CACHOEIRA DO ARAÇÁ,,256,420,204,896,802,91,"35,546875",diminuiu
SAUBA,,590,2402,675,545,1046,186,"31,52542373",diminuiu
ARACÁ,,253,782,452,301,511,75,"29,64426877",diminuiu
MARARI,,3802,4453,905,1687,2100,1071,"28,16938453",diminuiu
INAMBÚ,,2755,2557,2446,5284,4488,763,"27,69509982",diminuiu
MAIA,,6566,6989,3939,11162,8710,1693,"25,78434359",diminuiu
ARATHA-U,,156,266,405,510,523,38,"24,35897436",diminuiu
SURUCUCU,,1081,710,607,230,402,230,"21,27659574",diminuiu
MISSÃO CATRIMANI,,779,1223,1049,435,499,152,"19,51219512",diminuiu
ALTO MUCAJAI,,7588,5829,1631,2577,3480,1446,"19,05640485",diminuiu
BALAWAU,,1099,1674,471,694,1246,208,"18,92629663",diminuiu
ALTO PADAUIRI,,38,84,30,52,25,7,"18,42105263",diminuiu
MÉDIO PADAUIRI,,966,721,431,1022,740,165,"17,08074534",diminuiu
APIAÚ,,510,651,609,831,1169,69,"13,52941176",diminuiu
XITEI (ambos),,1742,1895,491,302,475,234,"13,43283582",diminuiu
URARICOERA,,2152,1233,765,1160,1689,237,"11,01301115",diminuiu
ALTO CATRIMANI (ambos),,246,673,273,58,115,26,"10,56910569",diminuiu
BAIXO MUCAJAI,,2690,2875,405,626,1483,250,"9,293680297",diminuiu
HAKOMA,,85,30,77,55,27,7,"8,235294118",diminuiu
MALOCA PAAPIU,,742,1025,1185,1088,795,57,"7,681940701",diminuiu
ERICÓ,,3415,3236,996,1183,1318,231,"6,764275256",diminuiu
WAIKÁS,,1047,1802,633,1180,932,70,"6,685768863",diminuiu
TOOTOTOBI,,804,2079,682,1245,709,45,"5,597014925",diminuiu
WAPUTHA,,1363,1004,563,103,45,40,"2,934702861",diminuiu
PARAFURI,,686,1824,702,747,202,17,"2,478134111",diminuiu
AJARANI,,611,870,181,404,358,9,"1,47299509",diminuiu
PAAPIU,,635,1345,335,388,377,0,0,diminuiu
HOMOXI (ambos),,39,28,45,38,54,,0,diminuiu